"","index","rune","color","word_length","word","gemetria_sequence","img","dots","end_of_page","punct","total_word_count","word_rune_position","total_line_count","end_of_line","rune_by_page","word_gemetria_value","sections","word_by_page","total_rune_position","unused","line_by_page","rune_as_prime","index_of_next_instance","gap_to_next_instance","space_to_next_instance","rune_count_by_sect","word_by_sect"
"4110",4110,"c","black","4","n,j,c,ae",5,"no",NA,17,NA,915,3,191,NA,81,180,4,20,4110,0,4,13,4134,23,22,507,117
"4111",4111,"ae","black","4","n,j,c,ae",25,"no",NA,17,NA,915,4,191,NA,82,180,4,20,4111,0,4,101,4142,30,29,508,117
"4112",4112,"g","black","2","g,p",6,"no",NA,17,NA,916,1,191,NA,83,60,4,21,4112,0,4,17,4160,47,46,509,118
"4113",4113,"p","black","2","g,p",13,"no",NA,17,NA,916,2,191,NA,84,60,4,21,4113,0,4,43,4122,8,7,510,118
"4114",4114,"s","black","3","s,e,o",15,"no",NA,17,NA,917,1,191,NA,85,127,4,22,4114,0,4,53,4149,34,33,511,119
"4115",4115,"e","black","3","s,e,o",18,"no",NA,17,NA,917,2,191,NA,86,127,4,22,4115,0,4,67,4152,36,35,512,119
"4116",4116,"o","black","3","s,e,o",3,"no",NA,17,NA,917,3,191,NA,87,127,4,22,4116,0,4,7,4120,3,2,513,119
"4117",4117,"u","black","3","u,ing,o",1,"no",NA,17,NA,918,1,191,NA,88,89,4,23,4117,0,4,3,4193,75,74,514,120
"4118",4118,"ing","black","3","u,ing,o",21,"no",NA,17,NA,918,2,191,NA,89,89,4,23,4118,0,4,79,4143,24,23,515,120
"4119",4119,"o","black","3","u,ing,o",3,"no",NA,17,NA,918,3,191,NA,90,89,4,23,4119,0,4,7,4156,36,35,516,120
"4120",4120,"t","black","6","t,p,i,y,n,a",16,"no",NA,17,NA,919,1,191,1,91,362,4,24,4120,0,4,59,4127,6,5,517,121
"4121",4121,"p","black","6","t,p,i,y,n,a",13,"no",NA,17,NA,919,2,192,NA,92,362,4,24,4121,0,5,43,4158,36,35,518,121
"4122",4122,"i","black","6","t,p,i,y,n,a",10,"no",NA,17,NA,919,3,192,NA,93,362,4,24,4122,0,5,31,4141,18,17,519,121
"4123",4123,"y","black","6","t,p,i,y,n,a",26,"no",NA,17,NA,919,4,192,NA,94,362,4,24,4123,0,5,103,4155,31,30,520,121
"4124",4124,"n","black","6","t,p,i,y,n,a",9,"no",NA,17,NA,919,5,192,NA,95,362,4,24,4124,0,5,29,4131,6,5,521,121
"4125",4125,"a","black","6","t,p,i,y,n,a",24,"no",NA,17,NA,919,6,192,NA,96,362,4,24,4125,0,5,97,4140,14,13,522,121
"4126",4126,"t","black","2","t,w",16,"no",NA,17,NA,920,1,192,NA,97,78,4,25,4126,0,5,59,4146,19,18,523,122
"4127",4127,"w","black","2","t,w",7,"no",NA,17,NA,920,2,192,NA,98,78,4,25,4127,0,5,19,4185,57,56,524,122
"4128",4128,"f","black","7","f,m,n,oe,n,c,b",0,"no",NA,17,NA,921,1,192,NA,99,288,4,26,4128,0,5,2,4218,89,88,525,123
"4129",4129,"m","black","7","f,m,n,oe,n,c,b",19,"no",NA,17,NA,921,2,192,NA,100,288,4,26,4129,0,5,71,4184,54,53,526,123
"4130",4130,"n","black","7","f,m,n,oe,n,c,b",9,"no",NA,17,NA,921,3,192,NA,101,288,4,26,4130,0,5,29,4133,2,1,527,123
"4131",4131,"oe","black","7","f,m,n,oe,n,c,b",22,"no",NA,17,NA,921,4,192,NA,102,288,4,26,4131,0,5,83,4139,7,6,528,123
"4132",4132,"n","black","7","f,m,n,oe,n,c,b",9,"no",NA,17,NA,921,5,192,NA,103,288,4,26,4132,0,5,29,4172,39,38,529,123
"4133",4133,"c","black","7","f,m,n,oe,n,c,b",5,"no",NA,17,NA,921,6,192,NA,104,288,4,26,4133,0,5,13,4151,17,16,530,123
"4134",4134,"b","black","7","f,m,n,oe,n,c,b",17,"no",4,17,NA,921,7,192,NA,105,288,4,26,4134,0,5,61,4144,9,8,531,123
"4135",4135,"j","black","3","j,x,ia",11,"no",NA,17,NA,922,1,192,NA,106,191,4,27,4135,0,5,37,4147,11,10,532,124
"4136",4136,"x","black","3","j,x,ia",14,"no",NA,17,NA,922,2,192,NA,107,191,4,27,4136,0,5,47,4145,8,7,533,124
"4137",4137,"ia","black","3","j,x,ia",27,"no",NA,17,NA,922,3,192,NA,108,191,4,27,4137,0,5,107,4161,23,22,534,124
"4138",4138,"oe","black","5","oe,a,i,ae,ing",22,"no",NA,17,NA,923,1,192,NA,109,391,4,28,4138,0,5,83,4216,77,76,535,125
"4139",4139,"a","black","5","oe,a,i,ae,ing",24,"no",NA,17,NA,923,2,192,NA,110,391,4,28,4139,0,5,97,4217,77,76,536,125
"4140",4140,"i","black","5","oe,a,i,ae,ing",10,"no",NA,17,NA,923,3,192,NA,111,391,4,28,4140,0,5,31,4148,7,6,537,125
"4141",4141,"ae","black","5","oe,a,i,ae,ing",25,"no",NA,17,NA,923,4,192,NA,112,391,4,28,4141,0,5,101,4159,17,16,538,125
"4142",4142,"ing","black","5","oe,a,i,ae,ing",21,"no",NA,17,NA,923,5,192,NA,113,391,4,28,4142,0,5,79,4179,36,35,539,125
"4143",4143,"b","black","1","b",17,"no",NA,17,NA,924,1,192,1,114,61,4,29,4143,0,5,61,4213,69,68,540,126
"4144",4144,"x","black","5","x,t,j,i,s",14,"no",NA,17,NA,925,1,193,NA,115,227,4,30,4144,0,6,47,4171,26,25,541,127
"4145",4145,"t","black","5","x,t,j,i,s",16,"no",NA,17,NA,925,2,193,NA,116,227,4,30,4145,0,6,59,4219,73,72,542,127
"4146",4146,"j","black","5","x,t,j,i,s",11,"no",NA,17,NA,925,3,193,NA,117,227,4,30,4146,0,6,37,4162,15,14,543,127
"4147",4147,"i","black","5","x,t,j,i,s",10,"no",NA,17,NA,925,4,193,NA,118,227,4,30,4147,0,6,31,4163,15,14,544,127
"4148",4148,"s","black","5","x,t,j,i,s",15,"no",4,17,NA,925,5,193,NA,119,227,4,30,4148,0,6,53,4205,56,55,545,127
"4149",4149,"ea","black","1","ea",28,"no",NA,17,NA,926,1,193,NA,120,109,4,31,4149,0,6,109,4167,17,16,546,128
"4150",4150,"c","black","7","c,e,r,th,y,o,y",5,"no",NA,17,NA,927,1,193,NA,121,309,4,32,4150,0,6,13,4210,59,58,547,129
"4151",4151,"e","black","7","c,e,r,th,y,o,y",18,"no",NA,17,NA,927,2,193,NA,122,309,4,32,4151,0,6,67,4186,34,33,548,129
"4152",4152,"r","black","7","c,e,r,th,y,o,y",4,"no",NA,17,NA,927,3,193,NA,123,309,4,32,4152,0,6,11,4165,12,11,549,129
"4153",4153,"th","black","7","c,e,r,th,y,o,y",2,"no",NA,17,NA,927,4,193,NA,124,309,4,32,4153,0,6,5,4166,12,11,550,129
"4154",4154,"y","black","7","c,e,r,th,y,o,y",26,"no",NA,17,NA,927,5,193,NA,125,309,4,32,4154,0,6,103,4157,2,1,551,129
"4155",4155,"o","black","7","c,e,r,th,y,o,y",3,"no",NA,17,NA,927,6,193,NA,126,309,4,32,4155,0,6,7,4164,8,7,552,129
"4156",4156,"y","black","7","c,e,r,th,y,o,y",26,"no",NA,17,NA,927,7,193,NA,127,309,4,32,4156,0,6,103,4180,23,22,553,129
"4157",4157,"p","black","3","p,ae,g",13,"no",NA,17,NA,928,1,193,NA,128,161,4,33,4157,0,6,43,4204,46,45,554,130
"4158",4158,"ae","black","3","p,ae,g",25,"no",NA,17,NA,928,2,193,NA,129,161,4,33,4158,0,6,101,4175,16,15,555,130
"4159",4159,"g","black","3","p,ae,g",6,"no",NA,17,NA,928,3,193,NA,130,161,4,33,4159,0,6,17,4188,28,27,556,130
"4160",4160,"ia","black","4","ia,j,i,o",27,"no",NA,17,NA,929,1,193,NA,131,182,4,34,4160,0,6,107,4182,21,20,557,131
"4161",4161,"j","black","4","ia,j,i,o",11,"no",NA,17,NA,929,2,193,NA,132,182,4,34,4161,0,6,37,4196,34,33,558,131
"4162",4162,"i","black","4","ia,j,i,o",10,"no",NA,17,NA,929,3,193,NA,133,182,4,34,4162,0,6,31,4176,13,12,559,131
"4163",4163,"o","black","4","ia,j,i,o",3,"no",NA,17,NA,929,4,193,NA,134,182,4,34,4163,0,6,7,4170,6,5,560,131
"4164",4164,"r","black","3","r,th,ea",4,"no",NA,17,NA,930,1,193,NA,135,125,4,35,4164,0,6,11,4173,8,7,561,132
"4165",4165,"th","black","3","r,th,ea",2,"no",NA,17,NA,930,2,193,1,136,125,4,35,4165,0,6,5,4169,3,2,562,132
"4166",4166,"ea","black","3","r,th,ea",28,"no",NA,17,NA,930,3,194,NA,137,125,4,35,4166,0,7,109,4257,90,89,563,132
"4167",4167,"eo","black","4","eo,th,o,x",12,"no",NA,17,NA,931,1,194,NA,138,100,4,36,4167,0,7,41,4187,19,18,564,133
"4168",4168,"th","black","4","eo,th,o,x",2,"no",NA,17,NA,931,2,194,NA,139,100,4,36,4168,0,7,5,4234,65,64,565,133
"4169",4169,"o","black","4","eo,th,o,x",3,"no",NA,17,NA,931,3,194,NA,140,100,4,36,4169,0,7,7,4221,51,50,566,133
"4170",4170,"x","black","4","eo,th,o,x",14,"no",NA,17,NA,931,4,194,NA,141,100,4,36,4170,0,7,47,4177,6,5,567,133
"4171",4171,"n","black","6","n,r,n,ae,i,x",9,"no",NA,17,NA,932,1,194,NA,142,248,4,37,4171,0,7,29,4174,2,1,568,134
"4172",4172,"r","black","6","n,r,n,ae,i,x",4,"no",NA,17,NA,932,2,194,NA,143,248,4,37,4172,0,7,11,4199,26,25,569,134
"4173",4173,"n","black","6","n,r,n,ae,i,x",9,"no",NA,17,NA,932,3,194,NA,144,248,4,37,4173,0,7,29,4203,29,28,570,134
"4174",4174,"ae","black","6","n,r,n,ae,i,x",25,"no",NA,17,NA,932,4,194,NA,145,248,4,37,4174,0,7,101,4181,6,5,571,134
"4175",4175,"i","black","6","n,r,n,ae,i,x",10,"no",NA,17,NA,932,5,194,NA,146,248,4,37,4175,0,7,31,4178,2,1,572,134
"4176",4176,"x","black","6","n,r,n,ae,i,x",14,"no",NA,17,NA,932,6,194,NA,147,248,4,37,4176,0,7,47,4198,21,20,573,134
"4177",4177,"i","black","1","i",10,"no",NA,17,NA,933,1,194,NA,148,31,4,38,4177,0,7,31,4224,46,45,574,135
"4178",4178,"ing","black","6","ing,y,ae,ia,ae,m",21,"no",NA,17,NA,934,1,194,NA,149,562,4,39,4178,0,7,79,4262,83,82,575,136
"4179",4179,"y","black","6","ing,y,ae,ia,ae,m",26,"no",NA,17,NA,934,2,194,NA,150,562,4,39,4179,0,7,103,4206,26,25,576,136
"4180",4180,"ae","black","6","ing,y,ae,ia,ae,m",25,"no",NA,17,NA,934,3,194,NA,151,562,4,39,4180,0,7,101,4183,2,1,577,136
"4181",4181,"ia","black","6","ing,y,ae,ia,ae,m",27,"no",NA,17,NA,934,4,194,NA,152,562,4,39,4181,0,7,107,4214,32,31,578,136
"4182",4182,"ae","black","6","ing,y,ae,ia,ae,m",25,"no",NA,17,NA,934,5,194,NA,153,562,4,39,4182,0,7,101,4208,25,24,579,136
"4183",4183,"m","black","6","ing,y,ae,ia,ae,m",19,"no",NA,17,NA,934,6,194,NA,154,562,4,39,4183,0,7,71,4191,7,6,580,136
"4184",4184,"w","black","2","w,e",7,"no",NA,17,NA,935,1,194,NA,155,86,4,40,4184,0,7,19,4195,10,9,581,137
"4185",4185,"e","black","2","w,e",18,"no",NA,17,NA,935,2,194,NA,156,86,4,40,4185,0,7,67,4190,4,3,582,137
"4186",4186,"eo","black","5","eo,g,h,e,m",12,"no",NA,17,NA,936,1,194,NA,157,219,4,41,4186,0,7,41,4222,35,34,583,138
"4187",4187,"g","black","5","eo,g,h,e,m",6,"no",NA,17,NA,936,2,194,NA,158,219,4,41,4187,0,7,17,4192,4,3,584,138
"4188",4188,"h","black","5","eo,g,h,e,m",8,"no",NA,17,NA,936,3,194,1,159,219,4,41,4188,0,7,23,4197,8,7,585,138
"4189",4189,"e","black","5","eo,g,h,e,m",18,"no",NA,17,NA,936,4,195,NA,160,219,4,41,4189,0,8,67,4227,37,36,586,138
"4190",4190,"m","black","5","eo,g,h,e,m",19,"no",NA,17,NA,936,5,195,NA,161,219,4,41,4190,0,8,71,4226,35,34,587,138
"4191",4191,"g","black","4","g,u,d,w",6,"no",NA,17,NA,937,1,195,NA,162,128,4,42,4191,0,8,17,4220,28,27,588,139
"4192",4192,"u","black","4","g,u,d,w",1,"no",NA,17,NA,937,2,195,NA,163,128,4,42,4192,0,8,3,4200,7,6,589,139
"4193",4193,"d","black","4","g,u,d,w",23,"no",NA,17,NA,937,3,195,NA,164,128,4,42,4193,0,8,89,4236,42,41,590,139
"4194",4194,"w","black","4","g,u,d,w",7,"no",NA,17,NA,937,4,195,NA,165,128,4,42,4194,0,8,19,4283,88,87,591,139
"4195",4195,"j","black","2","j,h",11,"no",NA,17,NA,938,1,195,NA,166,60,4,43,4195,0,8,37,4201,5,4,592,140
"4196",4196,"h","black","2","j,h",8,"no",4,17,NA,938,2,195,NA,167,60,4,43,4196,0,8,23,4240,43,42,593,140
"4197",4197,"x","black","7","x,r,u,j,u,n,p",14,"no",NA,17,NA,939,1,195,NA,168,173,4,44,4197,0,8,47,4228,30,29,594,141
"4198",4198,"r","black","7","x,r,u,j,u,n,p",4,"no",NA,17,NA,939,2,195,NA,169,173,4,44,4198,0,8,11,4225,26,25,595,141
"4199",4199,"u","black","7","x,r,u,j,u,n,p",1,"no",NA,17,NA,939,3,195,NA,170,173,4,44,4199,0,8,3,4202,2,1,596,141
"4200",4200,"j","black","7","x,r,u,j,u,n,p",11,"no",NA,17,NA,939,4,195,NA,171,173,4,44,4200,0,8,37,4207,6,5,597,141
"4201",4201,"u","black","7","x,r,u,j,u,n,p",1,"no",NA,17,NA,939,5,195,NA,172,173,4,44,4201,0,8,3,4238,36,35,598,141
"4202",4202,"n","black","7","x,r,u,j,u,n,p",9,"no",NA,17,NA,939,6,195,NA,173,173,4,44,4202,0,8,29,4243,40,39,599,141
"4203",4203,"p","black","7","x,r,u,j,u,n,p",13,"no",NA,17,NA,939,7,195,NA,174,173,4,44,4203,0,8,43,4209,5,4,600,141
"4204",4204,"s","black","4","s,y,j,ae",15,"no",NA,17,NA,940,1,195,NA,175,294,4,45,4204,0,8,53,4260,55,54,601,142
"4205",4205,"y","black","4","s,y,j,ae",26,"no",NA,17,NA,940,2,195,NA,176,294,4,45,4205,0,8,103,4211,5,4,602,142
"4206",4206,"j","black","4","s,y,j,ae",11,"no",NA,17,NA,940,3,195,NA,177,294,4,45,4206,0,8,37,4267,60,59,603,142
"4207",4207,"ae","black","4","s,y,j,ae",25,"no",NA,17,NA,940,4,195,NA,178,294,4,45,4207,0,8,101,4215,7,6,604,142
"4208",4208,"p","black","6","p,c,y,c,b,ia",13,"no",NA,17,NA,941,1,195,NA,179,340,4,46,4208,0,8,43,4265,56,55,605,143
"4209",4209,"c","black","6","p,c,y,c,b,ia",5,"no",NA,17,NA,941,2,195,1,180,340,4,46,4209,0,8,13,4212,2,1,606,143
"4210",4210,"y","black","6","p,c,y,c,b,ia",26,"no",NA,17,NA,941,3,196,NA,181,340,4,46,4210,0,9,103,4255,44,43,607,143
"4211",4211,"c","black","6","p,c,y,c,b,ia",5,"no",NA,17,NA,941,4,196,NA,182,340,4,46,4211,0,9,13,4249,37,36,608,143
"4212",4212,"b","black","6","p,c,y,c,b,ia",17,"no",NA,17,NA,941,5,196,NA,183,340,4,46,4212,0,9,61,4302,89,88,609,143
"4213",4213,"ia","black","6","p,c,y,c,b,ia",27,"no",NA,17,NA,941,6,196,NA,184,340,4,46,4213,0,9,107,4242,28,27,610,143
"4214",4214,"ae","black","4","ae,oe,a,f",25,"no",NA,17,NA,942,1,196,NA,185,283,4,47,4214,0,9,101,4232,17,16,611,144
"4215",4215,"oe","black","4","ae,oe,a,f",22,"no",NA,17,NA,942,2,196,NA,186,283,4,47,4215,0,9,83,4223,7,6,612,144
"4216",4216,"a","black","4","ae,oe,a,f",24,"no",NA,17,NA,942,3,196,NA,187,283,4,47,4216,0,9,97,4250,33,32,613,144
"4217",4217,"f","black","4","ae,oe,a,f",0,"no",NA,17,NA,942,4,196,NA,188,283,4,47,4217,0,9,2,4252,34,33,614,144
"4218",4218,"t","black","1","t",16,"no",NA,17,NA,943,1,196,NA,189,59,4,48,4218,0,9,59,4248,29,28,615,145
"4219",4219,"g","black","4","g,o,eo,oe",6,"no",NA,17,NA,944,1,196,NA,190,148,4,49,4219,0,9,17,4263,43,42,616,146
"4220",4220,"o","black","4","g,o,eo,oe",3,"no",NA,17,NA,944,2,196,NA,191,148,4,49,4220,0,9,7,4273,52,51,617,146
"4221",4221,"eo","black","4","g,o,eo,oe",12,"no",NA,17,NA,944,3,196,NA,192,148,4,49,4221,0,9,41,4231,9,8,618,146
"4222",4222,"oe","black","4","g,o,eo,oe",22,"no",NA,17,NA,944,4,196,NA,193,148,4,49,4222,0,9,83,4229,6,5,619,146
"4223",4223,"i","black","3","i,r,m",10,"no",NA,17,NA,945,1,196,NA,194,113,4,50,4223,0,9,31,4237,13,12,620,147
"4224",4224,"r","black","3","i,r,m",4,"no",NA,17,NA,945,2,196,NA,195,113,4,50,4224,0,9,11,4235,10,9,621,147
"4225",4225,"m","black","3","i,r,m",19,"no",NA,17,NA,945,3,196,NA,196,113,4,50,4225,0,9,71,4230,4,3,622,147
"4226",4226,"e","black","3","e,x,oe",18,"no",NA,17,NA,946,1,196,NA,197,197,4,51,4226,0,9,67,4322,95,94,623,148
"4227",4227,"x","black","3","e,x,oe",14,"no",NA,17,NA,946,2,196,NA,198,197,4,51,4227,0,9,47,4268,40,39,624,148
"4228",4228,"oe","black","3","e,x,oe",22,"no",NA,17,NA,946,3,196,NA,199,197,4,51,4228,0,9,83,4233,4,3,625,148
"4229",4229,"m","black","5","m,eo,ae,oe,th",19,"no",NA,17,NA,947,1,196,NA,200,301,4,52,4229,0,9,71,4241,11,10,626,149
"4230",4230,"eo","black","5","m,eo,ae,oe,th",12,"no",NA,17,NA,947,2,196,NA,201,301,4,52,4230,0,9,41,4298,67,66,627,149
"4231",4231,"ae","black","5","m,eo,ae,oe,th",25,"no",NA,17,NA,947,3,196,NA,202,301,4,52,4231,0,9,101,4254,22,21,628,149
"4232",4232,"oe","black","5","m,eo,ae,oe,th",22,"no",NA,17,NA,947,4,196,1,203,301,4,52,4232,0,9,83,4269,36,35,629,149
"4233",4233,"th","black","5","m,eo,ae,oe,th",2,"no",NA,17,NA,947,5,197,NA,204,301,4,52,4233,0,10,5,4239,5,4,630,149
"4234",4234,"r","black","1","r",4,"no",NA,17,NA,948,1,197,NA,205,11,4,53,4234,0,10,11,4264,29,28,631,150
"4235",4235,"d","black","8","d,i,u,th,h,m,ia,n",23,"no",NA,17,NA,949,1,197,NA,206,358,4,54,4235,0,10,89,4320,84,83,632,151
"4236",4236,"i","black","8","d,i,u,th,h,m,ia,n",10,"no",NA,17,NA,949,2,197,NA,207,358,4,54,4236,0,10,31,4244,7,6,633,151
"4237",4237,"u","black","8","d,i,u,th,h,m,ia,n",1,"no",NA,17,NA,949,3,197,NA,208,358,4,54,4237,0,10,3,4281,43,42,634,151
"4238",4238,"th","black","8","d,i,u,th,h,m,ia,n",2,"no",NA,17,NA,949,4,197,NA,209,358,4,54,4238,0,10,5,4245,6,5,635,151
"4239",4239,"h","black","8","d,i,u,th,h,m,ia,n",8,"no",NA,17,NA,949,5,197,NA,210,358,4,54,4239,0,10,23,4246,6,5,636,151
"4240",4240,"m","black","8","d,i,u,th,h,m,ia,n",19,"no",NA,17,NA,949,6,197,NA,211,358,4,54,4240,0,10,71,4323,82,81,637,151
"4241",4241,"ia","black","8","d,i,u,th,h,m,ia,n",27,"no",NA,17,NA,949,7,197,NA,212,358,4,54,4241,0,10,107,4334,92,91,638,151
"4242",4242,"n","black","8","d,i,u,th,h,m,ia,n",9,"no",NA,17,NA,949,8,197,NA,213,358,4,54,4242,0,10,29,4297,54,53,639,151
"4243",4243,"i","black","4","i,th,h,l",10,"no",NA,17,NA,950,1,197,NA,214,132,4,55,4243,0,10,31,4278,34,33,640,152
"4244",4244,"th","black","4","i,th,h,l",2,"no",NA,17,NA,950,2,197,NA,215,132,4,55,4244,0,10,5,4251,6,5,641,152
"4245",4245,"h","black","4","i,th,h,l",8,"no",NA,17,NA,950,3,197,NA,216,132,4,55,4245,0,10,23,4256,10,9,642,152
"4246",4246,"l","black","4","i,th,h,l",20,"no",4,17,NA,950,4,197,NA,217,132,4,55,4246,0,10,73,4271,24,23,643,152
"4247",4247,"t","black","2","t,c",16,"no",NA,17,NA,951,1,197,NA,218,72,4,56,4247,0,10,59,4266,18,17,644,153
"4248",4248,"c","black","2","t,c",5,"no",NA,17,NA,951,2,197,NA,219,72,4,56,4248,0,10,13,4277,28,27,645,153
"4249",4249,"a","black","2","a,th",24,"no",NA,17,NA,952,1,197,NA,220,102,4,57,4249,0,10,97,4253,3,2,646,154
"4250",4250,"th","black","2","a,th",2,"no",NA,17,NA,952,2,197,NA,221,102,4,57,4250,0,10,5,4258,7,6,647,154
"4251",4251,"f","black","6","f,a,ae,y,h,ea",0,"no",NA,17,NA,953,1,197,NA,222,435,4,58,4251,0,10,2,4259,7,6,648,155
"4252",4252,"a","black","6","f,a,ae,y,h,ea",24,"no",NA,17,NA,953,2,197,NA,223,435,4,58,4252,0,10,97,4274,21,20,649,155
"4253",4253,"ae","black","6","f,a,ae,y,h,ea",25,"no",NA,17,NA,953,3,197,NA,224,435,4,58,4253,0,10,101,4361,107,106,650,155
"4254",4254,"y","black","6","f,a,ae,y,h,ea",26,"no",NA,17,NA,953,4,197,NA,225,435,4,58,4254,0,10,103,4280,25,24,651,155
"4255",4255,"h","black","6","f,a,ae,y,h,ea",8,"no",NA,17,NA,953,5,197,1,226,435,4,58,4255,0,10,23,4272,16,15,652,155
"4256",4256,"ea","black","6","f,a,ae,y,h,ea",28,"no",NA,17,NA,953,6,198,NA,227,435,4,58,4256,0,11,109,4288,31,30,653,155
"4257",4257,"th","black","8","th,f,s,f,ing,g,r,p",2,"no",NA,17,NA,954,1,198,NA,228,212,4,59,4257,0,11,5,4275,17,16,654,156
"4258",4258,"f","black","8","th,f,s,f,ing,g,r,p",0,"no",NA,17,NA,954,2,198,NA,229,212,4,59,4258,0,11,2,4261,2,1,655,156
"4259",4259,"s","black","8","th,f,s,f,ing,g,r,p",15,"no",NA,17,NA,954,3,198,NA,230,212,4,59,4259,0,11,53,4312,52,51,656,156
"4260",4260,"f","black","8","th,f,s,f,ing,g,r,p",0,"no",NA,17,NA,954,4,198,NA,231,212,4,59,4260,0,11,2,4279,18,17,657,156
"4261",4261,"ing","black","8","th,f,s,f,ing,g,r,p",21,"no",NA,17,NA,954,5,198,NA,232,212,4,59,4261,0,11,79,4292,30,29,658,156
"4262",4262,"g","black","8","th,f,s,f,ing,g,r,p",6,"no",NA,17,NA,954,6,198,NA,233,212,4,59,4262,0,11,17,4270,7,6,659,156
"4263",4263,"r","black","8","th,f,s,f,ing,g,r,p",4,"no",NA,17,NA,954,7,198,NA,234,212,4,59,4263,0,11,11,4310,46,45,660,156
"4264",4264,"p","black","8","th,f,s,f,ing,g,r,p",13,"no",NA,17,NA,954,8,198,NA,235,212,4,59,4264,0,11,43,4340,75,74,661,156
"4265",4265,"t","black","4","t,j,x,oe",16,"no",NA,17,NA,955,1,198,NA,236,226,4,60,4265,0,11,59,4276,10,9,662,157
"4266",4266,"j","black","4","t,j,x,oe",11,"no",NA,17,NA,955,2,198,NA,237,226,4,60,4266,0,11,37,4289,22,21,663,157
"4267",4267,"x","black","4","t,j,x,oe",14,"no",NA,17,NA,955,3,198,NA,238,226,4,60,4267,0,11,47,4332,64,63,664,157
"4268",4268,"oe","black","4","t,j,x,oe",22,"no",NA,17,NA,955,4,198,NA,239,226,4,60,4268,0,11,83,4284,15,14,665,157
"4269",4269,"g","black","3","g,l,h",6,"no",NA,17,NA,956,1,198,NA,240,113,4,61,4269,0,11,17,4299,29,28,666,158
"4270",4270,"l","black","3","g,l,h",20,"no",NA,17,NA,956,2,198,NA,241,113,4,61,4270,0,11,73,4301,30,29,667,158
"4271",4271,"h","black","3","g,l,h",8,"no",NA,17,NA,956,3,198,NA,242,113,4,61,4271,0,11,23,4327,55,54,668,158
"4272",4272,"o","black","6","o,a,th,t,c,i",3,"no",NA,17,NA,957,1,198,NA,243,212,4,62,4272,0,11,7,4314,41,40,669,159
"4273",4273,"a","black","6","o,a,th,t,c,i",24,"no",NA,17,NA,957,2,198,NA,244,212,4,62,4273,0,11,97,4285,11,10,670,159
"4274",4274,"th","black","6","o,a,th,t,c,i",2,"no",NA,17,NA,957,3,198,NA,245,212,4,62,4274,0,11,5,4293,18,17,671,159
"4275",4275,"t","black","6","o,a,th,t,c,i",16,"no",NA,17,NA,957,4,198,NA,246,212,4,62,4275,0,11,59,4360,84,83,672,159
"4276",4276,"c","black","6","o,a,th,t,c,i",5,"no",NA,17,NA,957,5,198,NA,247,212,4,62,4276,0,11,13,4318,41,40,673,159
"4277",4277,"i","black","6","o,a,th,t,c,i",10,"no",NA,17,NA,957,6,198,NA,248,212,4,62,4277,0,11,31,4282,4,3,674,159
"4278",4278,"f","black","5","f,y,u,i,w",0,"no",NA,17,NA,958,1,198,1,249,158,4,63,4278,0,11,2,4295,16,15,675,160
"4279",4279,"y","black","5","f,y,u,i,w",26,"no",NA,17,NA,958,2,199,NA,250,158,4,63,4279,0,12,103,4286,6,5,676,160
"4280",4280,"u","black","5","f,y,u,i,w",1,"no",NA,17,NA,958,3,199,NA,251,158,4,63,4280,0,12,3,4347,66,65,677,160
"4281",4281,"i","black","5","f,y,u,i,w",10,"no",NA,17,NA,958,4,199,NA,252,158,4,63,4281,0,12,31,4287,5,4,678,160
"4282",4282,"w","black","5","f,y,u,i,w",7,"no",NA,17,NA,958,5,199,NA,253,158,4,63,4282,0,12,19,4313,30,29,679,160
"4283",4283,"oe","black","7","oe,a,y,i,ea,j,a",22,"no",NA,17,NA,959,1,199,NA,254,557,4,64,4283,0,12,83,4291,7,6,680,161
"4284",4284,"a","black","7","oe,a,y,i,ea,j,a",24,"no",NA,17,NA,959,2,199,NA,255,557,4,64,4284,0,12,97,4290,5,4,681,161
"4285",4285,"y","black","7","oe,a,y,i,ea,j,a",26,"no",NA,17,NA,959,3,199,NA,256,557,4,64,4285,0,12,103,4342,56,55,682,161
"4286",4286,"i","black","7","oe,a,y,i,ea,j,a",10,"no",NA,17,NA,959,4,199,NA,257,557,4,64,4286,0,12,31,4316,29,28,683,161
"4287",4287,"ea","black","7","oe,a,y,i,ea,j,a",28,"no",NA,17,NA,959,5,199,NA,258,557,4,64,4287,0,12,109,4300,12,11,684,161
"4288",4288,"j","black","7","oe,a,y,i,ea,j,a",11,"no",NA,17,NA,959,6,199,NA,259,557,4,64,4288,0,12,37,4306,17,16,685,161
"4289",4289,"a","black","7","oe,a,y,i,ea,j,a",24,"no",NA,17,NA,959,7,199,NA,260,557,4,64,4289,0,12,97,4305,15,14,686,161
"4290",4290,"oe","black","3","oe,ing,th",22,"no",NA,17,NA,960,1,199,NA,261,167,4,65,4290,0,12,83,4294,3,2,687,162
"4291",4291,"ing","black","3","oe,ing,th",21,"no",NA,17,NA,960,2,199,NA,262,167,4,65,4291,0,12,79,4335,43,42,688,162
"4292",4292,"th","black","3","oe,ing,th",2,"no",NA,17,NA,960,3,199,NA,263,167,4,65,4292,0,12,5,4296,3,2,689,162
"4293",4293,"oe","black","4","oe,f,th,n",22,"no",NA,17,NA,961,1,199,NA,264,119,4,66,4293,0,12,83,4349,55,54,690,163
